name,age,last_login,watch_time,preferred_category,payment_status,email
김수민,49,2025-04-05,49,영화,paid,ogsunjang@yuhanhoesa.kr
김재호,53,2025-04-17,167,영화,paid,hyeonui@gmail.com
김영자,44,2025-04-22,125,영화,paid,yeongsugweon@daum.net
김준혁,63,2025-04-27,113,영화,paid,seomijeong@live.com
이재현,28,2025-04-03,144,드라마,paid,yeweongim@hanmail.net
민지혜,32,2025-04-10,8,다큐멘터리,unpaid,oi@gimi.net
심재호,32,2025-04-18,73,예능,paid,seonghyeoni@yu.org
류준서,47,2025-04-19,190,영화,paid,minjae95@hanmail.net
이하은,53,2025-04-17,28,애니메이션,unpaid,yeonghwangim@naver.com
이은경,25,2025-04-09,198,애니메이션,paid,hyejingim@dreamwiz.com
김민석,41,2025-04-18,210,드라마,paid,ycoe@coebaggim.kr
김정희,64,2025-04-15,139,예능,paid,sangho62@dreamwiz.com
오정웅,45,2025-04-04,188,예능,paid,munjaeho@jusighoesa.com
황옥자,37,2025-04-28,8,영화,paid,myeongsug15@gimgim.kr
김예지,34,2025-04-12,220,드라마,paid,seojunbag@yu.kr
김영철,46,2025-04-28,30,예능,paid,junho57@gimgimi.kr
최경숙,31,2025-04-26,188,애니메이션,paid,minjaegim@gimgim.net
박정웅,62,2025-04-12,220,애니메이션,paid,eunseosong@hanmail.net
윤성현,58,2025-04-14,42,애니메이션,paid,dmun@daum.net
서주원,26,2025-04-26,52,예능,paid,seunghyeonbag@yuhanhoesa.kr
유시우,21,2025-04-19,89,애니메이션,paid,yunminseo@ju.kr
문지후,35,2025-04-20,137,예능,paid,ygim@naman.com
성현준,38,2025-04-23,74,다큐멘터리,paid,seungmingim@gmail.com
정지아,54,2025-04-09,243,애니메이션,paid,coemyeongja@ju.com
김명자,61,2025-04-27,24,예능,paid,kgim@ju.kr
최숙자,44,2025-04-30,15,다큐멘터리,paid,yeongsugi@naver.com
장성민,59,2025-04-05,179,예능,paid,gimsujin@daum.net
김상훈,33,2025-04-05,182,다큐멘터리,paid,yangjuweon@hotmail.com
정성민,33,2025-04-25,215,영화,paid,caeweon12@gimgim.kr
이상철,49,2025-04-05,147,다큐멘터리,paid,yeongjago@dreamwiz.com
백광수,58,2025-04-14,96,영화,paid,donghyeon52@naver.com
박정식,22,2025-04-21,203,드라마,paid,gimjiyeong@ju.kr
이경희,43,2025-04-17,191,다큐멘터리,paid,baeyeonggil@hanmail.net
이윤서,62,2025-04-30,224,다큐멘터리,paid,caeweongim@hotmail.com
송춘자,47,2025-04-16,83,애니메이션,paid,ogsuni@songmunsong.com
한성훈,18,2025-04-28,198,드라마,paid,dgim@ian.com
장승민,64,2025-04-15,162,다큐멘터리,paid,juyejun@live.com
홍순옥,22,2025-04-26,136,영화,paid,yangyeongho@gimcoe.com
이은영,31,2025-04-14,211,예능,paid,mbae@gimi.kr
박정희,49,2025-04-09,82,다큐멘터리,paid,jinu59@janggim.com
장순옥,39,2025-04-18,147,예능,paid,seunghyeonjang@live.com
배은정,54,2025-04-28,124,다큐멘터리,paid,acoe@naver.com
이영환,61,2025-04-25,12,드라마,paid,rbag@hanmail.net
